2018-12-21 12:53:15.039 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2018-12-21 12:53:15.075 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-21 12:53:15.077 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-21 12:53:15.308 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2018-12-21 12:53:15.473 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-21 12:53:15.499 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@36916eb0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7bab3f1a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@437da279, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@23c30a20, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e1a0406, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3cebbb30, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@12aba8be, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@290222c1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@67f639d3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6253c26, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@49049a04, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@71a8adcf]
2018-12-21 12:53:56.000 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2018-12-21 12:53:56.012 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-21 12:53:56.014 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-21 12:53:56.310 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2018-12-21 12:53:56.470 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-21 12:53:56.499 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2fb3536e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@169e6180, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@35aea049, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7205765b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@47987356, org.springframework.test.context.transaction.TransactionalTestExecutionListener@22ef9844, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6283d8b8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3b6ddd1d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3f6b0be5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@611889f4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1da2cb77, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@48f278eb]
